Date,ABC
Apr-22-2019,71.06
Apr-23-2019,73.43
Apr-24-2019,74.09
Apr-25-2019,73.72
Apr-26-2019,74.05
Apr-29-2019,74.51
Apr-30-2019,74.76
May-01-2019,73.39
May-02-2019,77.06
May-03-2019,79.14
May-06-2019,78.31
May-07-2019,77.46
May-08-2019,78.72
May-09-2019,79.18
May-10-2019,77.47
May-13-2019,75.68
May-14-2019,76.69
May-15-2019,77.86
May-16-2019,77.59
May-17-2019,77.73
May-20-2019,79.23
May-21-2019,80.57
May-22-2019,81.8
May-23-2019,80.44
May-24-2019,80.68
May-28-2019,80.89
May-29-2019,78.35
May-30-2019,78.32
May-31-2019,77.86
Jun-03-2019,80.37
Jun-04-2019,82.21
Jun-05-2019,81.65
Jun-06-2019,81.75
Jun-07-2019,83.48
Jun-10-2019,84.77
Jun-11-2019,84.72
Jun-12-2019,85.38
Jun-13-2019,86.44
Jun-14-2019,85.05
Jun-17-2019,85.34
Jun-18-2019,85.45
Jun-19-2019,86.06
Jun-20-2019,85.56
Jun-21-2019,84.46
Jun-24-2019,83.52
Jun-25-2019,84.28
Jun-26-2019,83.78
Jun-27-2019,85.63
Jun-28-2019,85.26
Jul-01-2019,85.59
Jul-02-2019,85.46
Jul-03-2019,87.59
Jul-05-2019,87.97
Jul-08-2019,87.83
Jul-09-2019,88.23
Jul-10-2019,89.3
Jul-11-2019,90.53
Jul-12-2019,89.85
Jul-15-2019,89.93
Jul-16-2019,89
Jul-17-2019,85.46
Jul-18-2019,86.76
Jul-19-2019,85.52
Jul-22-2019,85.05
Jul-23-2019,85.81
Jul-24-2019,86.89
Jul-25-2019,85.93
Jul-26-2019,86.12
Jul-29-2019,87.23
Jul-30-2019,88.72
Jul-31-2019,87.15
Aug-01-2019,91.7
Aug-02-2019,90.44
Aug-05-2019,88.7
Aug-06-2019,84.11
Aug-07-2019,85.85
Aug-08-2019,87.89
Aug-09-2019,87.45
Aug-12-2019,87.38
Aug-13-2019,89.26
Aug-14-2019,86.34
Aug-15-2019,85.97
Aug-16-2019,87.34
Aug-19-2019,87.75
Aug-20-2019,86.3
Aug-21-2019,86.32
Aug-22-2019,85.55
Aug-23-2019,83.54
Aug-26-2019,85.9
Aug-27-2019,81.28
Aug-28-2019,81.01
Aug-29-2019,81.91
Aug-30-2019,82.27
Sep-03-2019,84.04
Sep-04-2019,85.18
Sep-05-2019,86.04
Sep-06-2019,86.32
Sep-09-2019,87.13
Sep-10-2019,85.88
Sep-11-2019,87.79
Sep-12-2019,84.64
Sep-13-2019,83.42
Sep-16-2019,83.79
Sep-17-2019,83.18
Sep-18-2019,83
Sep-19-2019,84.63
Sep-20-2019,85.12
Sep-23-2019,83.85
Sep-24-2019,82.7
Sep-25-2019,83.23
Sep-26-2019,82
