Date,CAH
Apr-22-2019,45.26
Apr-23-2019,46.08
Apr-24-2019,46.58
Apr-25-2019,46.85
Apr-26-2019,47.51
Apr-29-2019,47.44
Apr-30-2019,48.71
May-01-2019,47.6
May-02-2019,48.74
May-03-2019,49.56
May-06-2019,49.44
May-07-2019,48.94
May-08-2019,49.71
May-09-2019,50.14
May-10-2019,48.85
May-13-2019,46.07
May-14-2019,46.1
May-15-2019,46.18
May-16-2019,45.23
May-17-2019,45.03
May-20-2019,45.98
May-21-2019,46.9
May-22-2019,46.84
May-23-2019,45.91
May-24-2019,45.95
May-28-2019,45.48
May-29-2019,43.68
May-30-2019,42.93
May-31-2019,42.07
Jun-03-2019,42.92
Jun-04-2019,43.95
Jun-05-2019,43.3
Jun-06-2019,42.79
Jun-07-2019,43.85
Jun-10-2019,44
Jun-11-2019,44.64
Jun-12-2019,44.22
Jun-13-2019,45.27
Jun-14-2019,44.16
Jun-17-2019,44.46
Jun-18-2019,44.54
Jun-19-2019,45.04
Jun-20-2019,44.77
Jun-21-2019,44.7
Jun-24-2019,45.01
Jun-25-2019,45.75
Jun-26-2019,45.63
Jun-27-2019,46.61
Jun-28-2019,47.1
Jul-01-2019,47.56
Jul-02-2019,47.17
Jul-03-2019,48
Jul-05-2019,48.23
Jul-08-2019,47.49
Jul-09-2019,47.2
Jul-10-2019,47.46
Jul-11-2019,48.26
Jul-12-2019,47.59
Jul-15-2019,47.5
Jul-16-2019,46.79
Jul-17-2019,45.07
Jul-18-2019,45.19
Jul-19-2019,44.99
Jul-22-2019,44.53
Jul-23-2019,44.4
Jul-24-2019,44.75
Jul-25-2019,44.91
Jul-26-2019,45.12
Jul-29-2019,45.81
Jul-30-2019,46.41
Jul-31-2019,45.73
Aug-01-2019,46.67
Aug-02-2019,46.11
Aug-05-2019,45.55
Aug-06-2019,42.92
Aug-07-2019,42.75
Aug-08-2019,43.89
Aug-09-2019,44.35
Aug-12-2019,43.78
Aug-13-2019,44.67
Aug-14-2019,42.41
Aug-15-2019,42
Aug-16-2019,43.19
Aug-19-2019,43.48
Aug-20-2019,43.76
Aug-21-2019,43.57
Aug-22-2019,43.76
Aug-23-2019,42.79
Aug-26-2019,43.83
Aug-27-2019,41.93
Aug-28-2019,41.74
Aug-29-2019,42.27
Aug-30-2019,43.13
Sep-03-2019,43.3
Sep-04-2019,44.35
Sep-05-2019,44.38
Sep-06-2019,45.43
Sep-09-2019,46.82
Sep-10-2019,47.95
Sep-11-2019,48.88
Sep-12-2019,48.48
Sep-13-2019,48.22
Sep-16-2019,48.91
Sep-17-2019,48.26
Sep-18-2019,47.88
Sep-19-2019,48.02
Sep-20-2019,47.89
Sep-23-2019,47.17
Sep-24-2019,47.06
Sep-25-2019,47.67
Sep-26-2019,47.3
Sep-27-2019,47.57
Sep-30-2019,47.19
Oct-01-2019,47.28
Oct-02-2019,45.76
Oct-03-2019,45.81
Oct-04-2019,46.07
Oct-07-2019,45.6
Oct-08-2019,44.96
Oct-09-2019,45.3
Oct-10-2019,46.05
Oct-11-2019,46.92
Oct-14-2019,46.78
Oct-15-2019,47.9
Oct-16-2019,49.07
Oct-17-2019,51.21
Oct-18-2019,51.54
Oct-21-2019,50.41
Oct-22-2019,50.74
Oct-23-2019,50.02
Oct-24-2019,49.69
Oct-25-2019,50.05
Oct-28-2019,50.28
Oct-29-2019,51.23
Oct-30-2019,50.16
Oct-31-2019,49.45
Nov-01-2019,50.44
Nov-04-2019,51.74
Nov-05-2019,51.5
Nov-06-2019,51.43
Nov-07-2019,53.2
Nov-08-2019,53.75
Nov-11-2019,53.68
Nov-12-2019,54.03
Nov-13-2019,54.79
Nov-14-2019,54.75
Nov-15-2019,56.24
Nov-18-2019,56.01
Nov-19-2019,55.68
Nov-20-2019,55.41
Nov-21-2019,55.17
Nov-22-2019,55.69
