Date,MCK
Apr-22-2019,112.47
Apr-23-2019,115.2
Apr-24-2019,115.33
Apr-25-2019,115.21
Apr-26-2019,117.58
Apr-29-2019,118.37
Apr-30-2019,119.25
May-01-2019,119.01
May-02-2019,122.63
May-03-2019,123.48
May-06-2019,124.92
May-07-2019,125.68
May-08-2019,131.7
May-09-2019,134.6
May-10-2019,130.86
May-13-2019,126.45
May-14-2019,125.61
May-15-2019,126.31
May-16-2019,125.58
May-17-2019,125
May-20-2019,126.4
May-21-2019,128.33
May-22-2019,129.63
May-23-2019,129.09
May-24-2019,129.92
May-28-2019,130.1
May-29-2019,125.39
May-30-2019,123.85
May-31-2019,122.14
Jun-03-2019,124.56
Jun-04-2019,127.56
Jun-05-2019,127.37
Jun-06-2019,128.15
Jun-07-2019,130.28
Jun-10-2019,132.75
Jun-11-2019,132.6
Jun-12-2019,134.02
Jun-13-2019,134.84
Jun-14-2019,133.13
Jun-17-2019,133.83
Jun-18-2019,133.47
Jun-19-2019,134.93
Jun-20-2019,134.45
Jun-21-2019,133.06
Jun-24-2019,131.13
Jun-25-2019,131.8
Jun-26-2019,130.19
Jun-27-2019,133.92
Jun-28-2019,134.39
Jul-01-2019,134.24
Jul-02-2019,135.86
Jul-03-2019,140.74
Jul-05-2019,140.03
Jul-08-2019,140.48
Jul-09-2019,139.24
Jul-10-2019,141.01
Jul-11-2019,143.82
Jul-12-2019,144.6
Jul-15-2019,142.72
Jul-16-2019,142.96
Jul-17-2019,138.63
Jul-18-2019,139.68
Jul-19-2019,138.9
Jul-22-2019,138.76
Jul-23-2019,138.11
Jul-24-2019,140.37
Jul-25-2019,138.12
Jul-26-2019,138.95
Jul-29-2019,141.28
Jul-30-2019,142.52
Jul-31-2019,138.95
Aug-01-2019,148.25
Aug-02-2019,148.13
Aug-05-2019,144.66
Aug-06-2019,139
Aug-07-2019,139.21
Aug-08-2019,140.5
Aug-09-2019,140.19
Aug-12-2019,142.71
Aug-13-2019,146.31
Aug-14-2019,141.86
Aug-15-2019,141.27
Aug-16-2019,145.29
Aug-19-2019,145.96
Aug-20-2019,144.78
